
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 지점명 : 전체
, 기간 : 1991~2020년 07월 28일~08월 26일
지점명,지점번호,일시,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
파주,99,08-02,      26.4,      31.1,      22.9,       8.5,      84.5,       5.5,,,    1004.1,    1007.6,       1.4
대관령,100,08-02,      21.3,      25.5,      18.3,       8.5,      86.4,       5.3,,,     919.3,    1008.2,       3.4
춘천,101,08-02,      26.5,      31.1,      22.9,      13.2,      80.9,       5.1,,,     999.3,    1007.9,       1.1
백령도,102,08-02,      24.5,      27.3,      22.2,       5.4,      88.6,       4.6,       7.4,,     991.6,    1006.7,       4.1
강릉,105,08-02,      26.4,      30.0,      23.3,       5.8,      75.1,       5.2,,,    1005.1,    1008.1,       1.9
동해,106,08-02,      25.3,      29.0,      22.5,       4.6,      81.7,       5.8,,,    1003.5,    1007.7,       1.6
서울,108,08-02,      27.1,      30.9,      24.3,      14.1,      75.6,       4.7,       6.7,       4.1,     998.0,    1007.7,       2.2
인천,112,08-02,      26.4,      29.9,      24.0,      11.2,      82.7,       5.9,       6.6,       4.3,     999.6,    1007.5,       2.6
원주,114,08-02,      26.8,      31.5,      23.1,      11.8,      76.3,       5.1,,,     991.1,    1007.9,       1.0
울릉도,115,08-02,      24.8,      27.8,      22.6,       1.9,      82.8,       6.1,       6.2,       4.9,     983.9,    1008.9,       3.4
수원,119,08-02,      27.2,      31.4,      23.9,      11.0,      79.1,       5.2,       6.5,       4.5,    1003.9,    1008.0,       1.8
영월,121,08-02,      26.0,      31.5,      22.1,      10.5,      79.4,       5.5,,,     981.2,    1008.1,       1.1
충주,127,08-02,      26.6,      31.6,      22.7,      10.1,      75.3,       5.5,,,     997.0,    1008.1,       1.3
서산,129,08-02,      26.4,      30.6,      23.3,       9.1,      83.0,       5.9,,,    1005.0,    1007.9,       2.6
울진,130,08-02,      25.0,      28.8,      22.2,       3.8,      82.8,       6.3,,,    1002.6,    1008.3,       2.6
청주,131,08-02,      27.5,      32.1,      23.9,       9.6,      72.9,       5.9,       6.1,       5.1,    1001.5,    1008.0,       1.8
대전,133,08-02,      27.4,      31.7,      23.9,      10.7,      77.7,       6.4,       5.9,       4.6,    1000.2,    1008.0,       1.9
추풍령,135,08-02,      25.6,      30.8,      21.7,       6.8,      78.7,       6.0,,,     980.8,    1008.3,       1.6
안동,136,08-02,      26.6,      31.7,      22.6,       5.7,      76.3,       6.3,       6.0,       5.2,     992.7,    1008.6,       1.5
상주,137,08-02,      27.1,      32.6,      23.0,       3.9,      77.1,       6.4,,,     997.0,    1008.0,       1.1
포항,138,08-02,      27.2,      31.0,      24.3,       4.8,      77.2,       6.9,       5.7,       5.3,    1008.5,    1008.9,       2.5
군산,140,08-02,      27.2,      31.3,      24.1,       5.2,      82.8,       6.5,,,    1004.9,    1007.9,       2.9
울산,152,08-02,      27.3,      31.5,      23.9,       5.4,      76.3,       6.8,       5.4,,    1004.0,    1008.7,       2.1
창원,155,08-02,      27.4,      31.3,      24.4,       8.7,      78.1,       6.7,       5.3,,    1006.0,    1008.5,       2.1
광주,156,08-02,      27.8,      32.2,      24.6,       8.1,      76.2,       6.3,       5.6,,     999.8,    1008.0,       2.6
부산,159,08-02,      26.8,      30.1,      24.4,       6.2,      79.7,       7.6,       5.3,       4.8,    1000.9,    1008.8,       3.7
통영,162,08-02,      26.6,      30.1,      24.0,       6.2,      82.2,       6.8,,,    1005.5,    1009.1,       2.6
목포,165,08-02,      27.4,      31.1,      24.6,       4.2,      81.2,       7.5,       5.2,       5.2,    1003.3,    1008.1,       3.4
여수,168,08-02,      26.7,      29.6,      24.4,       7.4,      81.5,       7.3,       5.1,       5.5,    1001.1,    1008.7,       3.4
흑산도,169,08-02,      25.1,      28.4,      22.9,       3.4,      90.9,       5.6,       6.2,,     998.4,    1007.3,       4.8
완도,170,08-02,      26.9,      30.7,      24.0,       4.7,      82.7,       6.8,,,    1004.7,    1008.3,       3.0
고창,172,08-02,      28.0,      32.6,      24.4,       3.2,      82.6,       6.9,,,    1002.0,    1007.9,       2.6
제주,184,08-02,      28.2,      31.3,      25.7,       4.2,      74.9,       8.0,       4.8,       5.9,    1005.6,    1008.0,       2.9
고산,185,08-02,      27.1,      30.0,      24.9,       2.8,      85.0,       7.9,,,     999.6,    1007.7,       5.3
성산,188,08-02,      27.2,      30.5,      24.6,       5.7,      82.7,       7.3,,,    1006.4,    1008.5,       3.1
서귀포,189,08-02,      27.9,      30.6,      25.8,       6.1,      82.3,       6.8,       6.0,       4.7,    1002.4,    1008.1,       2.6
진주,192,08-02,      27.0,      31.8,      23.4,      10.8,      78.2,       6.7,,,    1005.6,    1008.5,       1.6
강화,201,08-02,      25.6,      29.5,      22.5,      14.7,      82.6,       5.4,,,    1002.8,    1008.1,       2.0
양평,202,08-02,      26.5,      31.3,      22.8,      12.7,      80.2,       5.3,,,    1003.1,    1008.6,       1.2
이천,203,08-02,      26.4,      31.4,      22.6,      12.1,      77.4,       5.6,,,     999.3,    1008.0,       1.1
인제,211,08-02,      24.9,      30.1,      21.4,      11.4,      79.4,       5.0,,,     985.8,    1008.3,       1.7
홍천,212,08-02,      26.1,      31.6,      22.2,      11.6,      76.4,       5.3,,,     992.5,    1008.4,       1.1
태백,216,08-02,      23.2,      28.0,      19.5,       7.4,      77.5,       5.3,,,     929.7,    1007.7,       1.7
정선군,217,08-02,      25.8,      31.9,      21.9,       7.7,      78.9,       5.6,,,     974.3,    1008.5,       1.3
제천,221,08-02,      25.3,      30.7,      21.3,      11.9,      77.2,       5.7,,,     979.2,    1008.4,       1.2
보은,226,08-02,      25.7,      31.0,      21.9,       9.5,      77.1,       6.1,,,     988.4,    1007.9,       1.1
천안,232,08-02,      26.6,      31.6,      22.6,      10.1,      76.4,       6.3,,,    1004.1,    1007.9,       1.6
보령,235,08-02,      26.8,      30.5,      23.8,       6.7,      81.5,       6.1,,,    1005.9,    1008.0,       2.3
부여,236,08-02,      27.1,      32.0,      23.3,       7.8,      78.4,       6.3,,,    1006.7,    1008.2,       1.4
금산,238,08-02,      26.4,      31.9,      22.3,       8.5,      74.8,       6.2,,,     989.0,    1008.2,       1.2
부안,243,08-02,      27.2,      32.1,      23.6,       6.6,      78.0,       7.1,,,    1007.0,    1008.1,       1.7
임실,244,08-02,      25.8,      31.3,      21.6,       9.0,      77.8,       6.2,,,     980.7,    1008.3,       1.4
정읍,245,08-02,      27.6,      32.6,      23.7,       7.4,      74.4,       6.3,,,    1003.0,    1008.2,       1.4
남원,247,08-02,      26.7,      32.1,      22.5,       9.0,      77.9,       6.5,,,     996.9,    1008.4,       1.3
장수,248,08-02,      24.8,      29.8,      20.6,       9.0,      80.1,       5.9,,,     963.1,    1008.3,       1.6
영광군,252,08-02,      27.8,      32.3,      24.3,       2.8,      79.3,       7.1,,,    1003.4,    1007.6,       2.3
김해시,253,08-02,      28.3,      33.1,      24.9,       3.2,      73.9,       7.4,,,    1002.5,    1009.1,       2.1
순창군,254,08-02,      27.5,      32.8,      23.3,       4.8,      76.1,       7.1,,,     993.7,    1007.9,       1.5
양산시,257,08-02,      28.6,      33.7,      25.0,       5.0,      72.9,       6.8,,,    1008.0,    1009.6,       2.6
강진군,259,08-02,      27.6,      31.7,      24.2,       6.5,      80.9,       7.2,,,    1006.9,    1008.3,       2.4
장흥,260,08-02,      26.7,      31.0,      23.0,      10.2,      80.6,       6.5,,,    1003.4,    1008.3,       2.0
해남,261,08-02,      27.1,      31.4,      23.5,       8.0,      80.4,       7.4,,,    1006.4,    1008.4,       2.4
고흥,262,08-02,      26.7,      31.0,      23.1,       8.2,      77.0,       6.9,,,    1002.8,    1008.6,       1.5
의령군,263,08-02,      27.2,      32.8,      23.1,       6.1,      81.7,       6.7,,,    1006.8,    1008.4,       1.2
함양군,264,08-02,      27.1,      33.3,      22.8,       5.6,      83.6,       6.6,,,     991.2,    1008.1,       0.9
진도군,268,08-02,      27.6,      31.6,      24.4,       4.1,,,,,,,       2.0
봉화,271,08-02,      24.4,      30.0,      20.1,       8.1,      79.9,       5.6,,,     972.7,    1008.1,       1.1
영주,272,08-02,      25.7,      31.0,      21.7,      10.4,      77.3,       5.8,,,     984.8,    1008.1,       1.5
문경,273,08-02,      25.6,      30.8,      21.8,       8.4,      79.6,       5.8,,,     989.1,    1008.3,       1.2
청송군,276,08-02,      26.2,      32.6,      21.6,       3.2,      80.0,       6.3,,,     985.4,    1008.6,       1.0
영덕,277,08-02,      25.9,      30.9,      22.3,       4.3,      77.9,       6.9,,,    1004.9,    1009.6,       2.0
의성,278,08-02,      26.6,      32.6,      21.9,       6.2,      75.0,       6.1,,,     999.5,    1008.4,       1.0
구미,279,08-02,      27.1,      32.3,      23.0,       7.5,      76.3,       6.6,,,    1003.4,    1008.6,       1.1
영천,281,08-02,      26.8,      32.2,      22.4,       6.3,      73.7,       6.6,,,     998.4,    1008.9,       1.6
경주시,283,08-02,      27.5,      33.5,      23.3,       3.8,      78.7,       6.7,,,    1004.5,    1008.8,       1.9
경주시,283,08-02,      27.5,      33.5,      23.3,       3.8,      78.7,       6.7,,,    1004.5,    1008.8,       1.9
거창,284,08-02,      25.9,      31.5,      21.6,       8.0,      79.2,       6.6,,,     983.5,    1008.6,       1.1
합천,285,08-02,      27.1,      32.7,      22.8,      10.2,      73.1,       6.4,,,    1005.0,    1008.6,       1.3
밀양,288,08-02,      27.3,      32.7,      23.1,       7.1,      75.9,       6.4,,,    1007.7,    1009.0,       1.5
산청,289,08-02,      26.5,      31.7,      22.6,      10.7,      76.7,       6.6,,,     993.4,    1009.1,       1.3
거제,294,08-02,      26.9,      30.7,      24.0,       8.8,      76.9,       6.4,,,    1004.1,    1008.6,       2.0
남해,295,08-02,      27.1,      31.4,      23.7,      10.4,      77.4,       7.1,,,    1004.1,    1009.3,       1.5
강남,400,08-02,      28.0,      31.9,      24.9,      15.5,,,,,,,       1.6
서초,401,08-02,      28.2,      32.8,      24.9,      15.0,,,,,,,       1.2
강동,402,08-02,      27.6,      31.9,      24.1,      14.7,,,,,,,       1.5
송파,403,08-02,      28.1,      32.2,      24.8,      14.0,,,,,,,       1.7
강서,404,08-02,      27.3,      31.1,      24.4,      14.0,,,,,,,       1.9
양천,405,08-02,      28.2,      32.2,      25.1,      13.0,,,,,,,       1.6
도봉,406,08-02,      26.9,      31.4,      23.5,      17.4,,,,,,,       1.0
노원,407,08-02,      26.8,      31.3,      23.1,      14.5,,,,,,,       1.4
동대문,408,08-02,      28.0,      32.3,      24.8,      15.1,,,,,,,       1.8
중랑,409,08-02,      28.1,      31.8,      24.9,      15.9,,,,,,,       2.2
기상청,410,08-02,      27.5,      31.2,      24.2,      13.8,,,,,,,       1.5
마포,411,08-02,      27.8,      31.6,      24.7,      15.4,,,,,,,       2.2
서대문,412,08-02,      26.7,      31.2,      23.6,      15.5,,,,,,,       1.4
광진,413,08-02,      27.8,      31.9,      24.6,      16.4,,,,,,,       1.6
성북,414,08-02,      27.0,      31.1,      24.0,      16.2,,,,,,,       1.7
용산,415,08-02,      28.1,      32.2,      25.0,      12.5,,,,,,,       1.9
은평,416,08-02,      26.9,      31.0,      23.6,      13.7,,,,,,,       1.7
금천,417,08-02,      27.5,      31.0,      24.6,      12.5,,,,,,,       2.2
중구,419,08-02,      26.3,      30.9,      23.2,      15.8,,,,,,,       1.5
성동,421,08-02,      28.1,      32.0,      25.1,       8.4,,,,,,,       2.1
구로,423,08-02,      27.6,      31.9,      24.4,       7.1,,,,,,,       2.0
강북,424,08-02,      28.5,      32.7,      25.3,       9.5,,,,,,,       1.7
남현,425,08-02,      27.3,      31.6,      24.0,      11.1,,,,,,,       1.1
부천,433,08-02,      28.0,      31.8,      25.1,       7.5,,,,,,,       1.3
안양,434,08-02,      27.8,      31.5,      24.8,       8.0,,,,,,,       2.1
광명,437,08-02,      28.3,      32.2,      25.4,       6.6,,,,,,,       2.0
군포,438,08-02,      27.8,      31.8,      24.8,       7.3,,,,,,,       1.5
김포,441,08-02,      27.1,      31.2,      23.9,       6.4,,,,,,,       1.7
하남,444,08-02,      27.3,      31.8,      23.8,       6.5,,,,,,,       0.8
의왕,445,08-02,      26.7,      31.1,      23.4,       7.1,,,,,,,       0.9
포천,504,08-02,      26.6,      31.6,      23.0,      20.0,,,,,,,       1.4
가평조종,505,08-02,      25.1,      30.6,      21.7,      15.5,,,,,,,       1.0
영등포,510,08-02,      28.1,      32.2,      25.3,      14.0,,,,,,,       1.7
인천연수,512,08-02,      27.4,      31.4,      24.3,      11.1,,,,,,,       1.8
안성,516,08-02,      27.7,      32.3,      23.8,      13.0,,,,,,,       1.1
간성,517,08-02,      25.1,      28.7,      22.0,      11.7,,,,,,,       1.3
평창,526,08-02,      24.8,      30.2,      21.0,       9.6,,,,,,,       1.0
의정부,532,08-02,      26.5,      31.1,      23.1,      16.7,,,,,,,       1.0
횡성,536,08-02,      26.2,      31.7,      22.4,      10.5,,,,,,,       0.9
고양,540,08-02,      26.7,      31.7,      23.3,      13.6,,,,,,,       1.3
남양주,541,08-02,      26.3,      31.3,      22.7,      16.9,,,,,,,       1.0
안산,545,08-02,      26.6,      31.5,      22.9,       9.9,,,,,,,       1.5
경기광주,546,08-02,      26.5,      31.3,      23.1,      12.3,,,,,,,       1.5
여주,548,08-02,      26.6,      31.7,      22.9,      10.8,,,,,,,       1.0
용인,549,08-02,      26.4,      31.3,      22.8,      11.1,,,,,,,       1.3
오산,550,08-02,      27.0,      32.1,      23.5,       9.7,,,,,,,       1.1
평택,551,08-02,      27.7,      32.5,      24.0,       9.1,,,,,,,       1.7
화천,555,08-02,      25.6,      31.5,      22.0,      16.4,,,,,,,       0.8
양구,556,08-02,      25.1,      31.0,      21.6,      14.6,,,,,,,       0.9
시흥,565,08-02,      27.5,      31.4,      24.3,      10.0,,,,,,,       1.7
구리,569,08-02,      27.3,      31.8,      23.9,      16.4,,,,,,,       1.3
금곡,570,08-02,      26.5,      30.4,      23.3,      14.8,,,,,,,       1.5
화성,571,08-02,      26.9,      31.0,      23.6,      10.8,,,,,,,       1.4
성남,572,08-02,      27.7,      31.9,      24.3,      12.4,,,,,,,       1.3
과천,590,08-02,      27.1,      31.7,      23.6,      15.0,,,,,,,       1.7
진부령,595,08-02,      22.8,      26.8,      19.8,       8.6,,,,,,,       2.6
양주,598,08-02,      26.4,      31.1,      22.9,      17.6,,,,,,,       1.4
단양,601,08-02,      26.6,      32.4,      22.7,       9.1,,,,,,,       0.9
진천,602,08-02,      26.2,      31.7,      22.2,      10.2,,,,,,,       1.1
괴산,603,08-02,      26.2,      31.6,      22.3,      11.7,,,,,,,       1.0
옥천,604,08-02,      26.9,      32.5,      22.9,       6.5,,,,,,,       1.0
홍북,608,08-02,      26.9,      31.5,      22.9,       9.5,,,,,,,       1.7
세종연서,611,08-02,      26.1,      31.5,      21.9,       9.9,,,,,,,       1.1
공주,612,08-02,      27.4,      32.5,      23.6,       8.1,,,,,,,       1.3
서천,614,08-02,      27.3,      31.8,      24.0,       4.3,,,,,,,       1.9
논산,615,08-02,      27.3,      32.5,      23.4,       8.4,,,,,,,       1.4
당진,616,08-02,      26.6,      30.9,      23.2,       8.6,,,,,,,       2.1
청양,618,08-02,      26.6,      31.7,      22.6,       7.4,,,,,,,       1.2
음성,619,08-02,      26.2,      31.8,      21.9,       9.8,,,,,,,       1.2
증평,623,08-02,      27.0,      32.4,      23.0,       9.6,,,,,,,       1.2
태안,627,08-02,      26.9,      30.8,      24.0,      10.7,,,,,,,       2.0
예산,628,08-02,      27.7,      32.3,      23.9,       9.6,,,,,,,       1.9
아산,634,08-02,      27.3,      32.0,      23.9,      11.0,,,,,,,       2.0
계룡,636,08-02,      26.7,      31.9,      22.6,      11.9,,,,,,,       1.0
오월드,642,08-02,      28.1,      33.1,      24.3,      10.5,,,,,,,       1.2
세천,643,08-02,      26.9,      32.5,      22.8,       8.7,,,,,,,       0.9
장동,648,08-02,      27.0,      32.3,      23.0,       9.0,,,,,,,       1.1
부평,649,08-02,      28.1,      33.0,      24.4,       9.7,,,,,,,       0.5
연천청산,652,08-02,      26.7,      31.7,      23.0,      17.0,,,,,,,       1.1
양양,670,08-02,      25.7,      29.2,      22.7,       5.4,,,,,,,       1.6
사북,674,08-02,      23.1,      27.8,      19.6,       7.2,,,,,,,       2.3
무안,699,08-02,      27.6,      32.3,      24.1,       4.3,,,,,,,       2.0
무주,701,08-02,      26.3,      32.3,      21.6,       5.6,,,,,,,       1.2
익산,702,08-02,      27.6,      32.8,      23.8,       6.1,,,,,,,       1.5
진안,703,08-02,      25.2,      30.6,      21.3,       8.1,,,,,,,       1.4
담양,706,08-02,      27.1,      31.8,      23.2,       8.4,,,,,,,       1.5
광산,708,08-02,      28.1,      33.1,      23.9,       7.4,,,,,,,       1.8
구례,709,08-02,      27.6,      33.1,      23.6,       9.6,,,,,,,       1.2
나주,710,08-02,      28.0,      33.1,      24.0,       6.2,,,,,,,       1.5
순천시,712,08-02,      27.6,      31.8,      24.5,       8.4,,,,,,,       1.7
광양읍,713,08-02,      27.6,      32.7,      23.9,      10.6,,,,,,,       1.1
조선대,722,08-02,      27.7,      32.4,      24.3,       6.9,,,,,,,       2.0
거문도,723,08-02,      27.3,      30.2,      25.0,       3.5,,,,,,,       2.7
추자도,724,08-02,      26.8,      29.4,      24.8,       2.2,,,,,,,       3.7
장성,730,08-02,      27.3,      32.5,      23.3,       8.3,,,,,,,       1.6
영암,731,08-02,      27.9,      32.4,      24.2,       7.4,,,,,,,       2.0
보성,732,08-02,      26.2,      30.7,      22.7,      12.1,,,,,,,       1.8
완주,734,08-02,      27.6,      33.3,      23.5,       7.8,,,,,,,       1.5
김제,737,08-02,      28.0,      33.0,      24.4,       6.8,,,,,,,       2.2
화순,741,08-02,      27.5,      33.1,      23.4,       8.0,,,,,,,       1.0
함평,754,08-02,      28.0,      32.7,      24.3,       5.9,,,,,,,       1.8
곡성,768,08-02,      27.3,      32.7,      23.2,       8.8,,,,,,,       1.2
성판악,782,08-02,      22.4,      25.7,      19.6,      15.3,,,,,,,       2.7
풍암,788,08-02,      28.7,      33.9,      24.8,       3.0,,,,,,,       1.4
압해도,789,08-02,      27.5,      31.7,      24.4,       3.7,,,,,,,       2.7
영양,801,08-02,      25.2,      30.7,      21.2,       4.3,,,,,,,       1.2
성주,810,08-02,      27.3,      32.9,      23.3,       7.5,,,,,,,       1.2
고령,812,08-02,      26.9,      32.5,      22.9,       7.9,,,,,,,       1.0
청도,813,08-02,      27.4,      33.0,      23.0,       7.1,,,,,,,       1.4
예천,815,08-02,      26.4,      32.3,      22.3,       8.8,,,,,,,       1.0
김천,822,08-02,      27.3,      33.4,      22.9,       8.1,,,,,,,       0.8
군위,823,08-02,      26.8,      33.2,      22.3,       6.3,,,,,,,       1.3
칠곡,825,08-02,      27.4,      33.2,      23.6,       6.9,,,,,,,       1.7
경산,827,08-02,      28.2,      34.0,      24.2,       5.4,,,,,,,       1.9
달성,828,08-02,      27.8,      33.8,      24.0,       8.3,,,,,,,       1.7
대구서구,846,08-02,      28.5,      33.6,      24.5,       5.9,,,,,,,       2.0
신암,860,08-02,      28.1,      33.0,      24.4,       6.2,      71.2,       5.5,       6.1,,    1002.0,    1008.7,       2.3
완산,864,08-02,      28.0,      32.8,      24.2,      10.4,      75.5,       5.3,       6.0,       4.9,    1001.5,    1007.6,       1.8
삼척,876,08-02,      26.4,      30.1,      23.3,       2.3,,,,,,,       1.7
울기,901,08-02,      24.9,      27.8,      22.8,       3.4,,,,,,,       2.7
삼천포,907,08-02,      27.0,      30.8,      24.2,      10.0,,,,,,,       1.7
영도,910,08-02,      25.6,      28.7,      23.4,       5.4,,,,,,,       3.8
고성,918,08-02,      27.8,      32.0,      24.2,       9.2,,,,,,,       2.2
창녕,919,08-02,      28.1,      33.8,      23.8,       6.2,,,,,,,       1.8
함안,920,08-02,      27.3,      33.4,      23.0,       7.3,,,,,,,       1.2
가덕도,921,08-02,      26.3,      30.0,      23.9,       5.1,,,,,,,       3.6
기장,923,08-02,      26.8,      30.7,      23.5,       5.8,,,,,,,       1.8
간절곶,924,08-02,      25.0,      27.5,      22.7,       4.9,,,,,,,       3.6
하동,932,08-02,      28.1,      33.1,      24.2,      12.3,,,,,,,       1.3
해운대,937,08-02,      27.0,      30.7,      24.1,       5.6,,,,,,,       2.4
부산진,938,08-02,      27.9,      31.8,      25.0,       6.8,,,,,,,       2.1
동래,940,08-02,      27.9,      32.1,      24.8,       6.2,,,,,,,       1.9
북구,941,08-02,      27.4,      31.6,      24.3,       7.5,,,,,,,       2.3
부산남구,942,08-02,      27.7,      31.1,      25.1,       5.2,,,,,,,       2.1
정자,949,08-02,      26.4,      30.7,      22.5,       4.5,,,,,,,       2.4
속초,90,08-03,      24.9,      28.3,      22.2,       9.0,      84.1,       5.1,,,    1006.0,    1008.1,       1.7
철원,95,08-03,      25.3,      29.9,      21.7,      16.4,      82.5,       5.3,,,     990.3,    1007.8,       1.7
동두천,98,08-03,      26.3,      31.2,      22.7,      17.0,      79.3,       5.4,,,     995.2,    1007.8,       1.7
파주,99,08-03,      26.5,      31.5,      23.0,      10.4,      84.0,       5.9,,,    1004.1,    1007.5,       1.4
대관령,100,08-03,      21.2,      25.4,      18.1,       8.3,      86.3,       5.3,,,     919.6,    1008.5,       3.2
춘천,101,08-03,      26.5,      31.2,      22.8,      13.1,      80.6,       5.5,,,     999.5,    1008.1,       1.1
백령도,102,08-03,      24.7,      27.7,      22.4,       5.5,      87.3,       5.6,       6.9,,     991.7,    1006.9,       4.0
강릉,105,08-03,      26.3,      30.0,      23.2,       5.5,      75.5,       5.4,,,    1005.4,    1008.4,       1.8
동해,106,08-03,      25.3,      29.0,      22.4,       4.4,      82.3,       6.0,,,    1003.7,    1008.0,       1.6
서울,108,08-03,      27.3,      31.1,      24.2,      13.1,      74.9,       5.1,       6.5,       4.4,     998.2,    1007.9,       2.2
인천,112,08-03,      26.6,      30.1,      24.0,      10.0,      81.9,       6.2,       6.3,       4.5,     999.8,    1007.7,       2.6
원주,114,08-03,      26.8,      31.7,      23.0,      11.2,      75.7,       5.4,,,     991.3,    1008.1,       0.9
울릉도,115,08-03,      24.8,      27.9,      22.6,       2.1,      83.0,       6.4,       6.0,       4.9,     984.2,    1009.2,       3.4
수원,119,08-03,      27.3,      31.6,      23.9,       9.8,      78.3,       5.7,       6.2,       4.7,    1004.1,    1008.2,       1.8
영월,121,08-03,      26.1,      31.7,      22.1,      11.4,      79.0,       5.8,,,     981.4,    1008.2,       1.1
충주,127,08-03,      26.7,      31.8,      22.7,       9.3,      74.8,       5.8,,,     997.2,    1008.3,       1.3
서산,129,08-03,      26.5,      30.8,      23.2,       8.1,      82.5,       6.3,,,    1005.2,    1008.1,       2.6
울진,130,08-03,      25.0,      28.6,      22.2,       3.7,      83.3,       6.5,,,    1002.9,    1008.6,       2.5
청주,131,08-03,      27.6,      32.1,      23.9,       9.1,      72.3,       6.2,       6.0,       5.2,    1001.6,    1008.1,       1.8
대전,133,08-03,      27.4,      31.7,      23.8,      10.1,      77.3,       6.6,       5.8,       4.7,    1000.3,    1008.2,       1.9
추풍령,135,08-03,      25.6,      30.8,      21.6,       6.5,      78.5,       5.9,,,     981.0,    1008.5,       1.6
안동,136,08-03,      26.7,      31.8,      22.6,       5.2,      75.8,       6.3,       5.9,       5.3,     992.9,    1008.8,       1.5
상주,137,08-03,      27.2,      32.7,      23.1,       4.0,      77.1,       6.5,,,     997.1,    1008.0,       1.0
포항,138,08-03,      27.2,      30.9,      24.2,       4.3,      77.5,       7.0,       5.6,       5.4,    1008.8,    1009.2,       2.5
군산,140,08-03,      27.2,      31.4,      24.0,       4.9,      82.3,       6.8,,,    1005.1,    1008.1,       3.0
울산,152,08-03,      27.2,      31.5,      23.8,       5.1,      76.2,       6.9,       5.3,,    1004.2,    1008.9,       2.1
창원,155,08-03,      27.3,      31.3,      24.4,       8.4,      77.8,       6.8,       5.1,,    1006.2,    1008.6,       2.1
광주,156,08-03,      27.8,      32.2,      24.4,       7.8,      76.0,       6.4,       5.4,,    1000.0,    1008.1,       2.5
부산,159,08-03,      26.8,      30.2,      24.4,       6.6,      79.4,       7.7,       5.2,       4.9,    1001.0,    1008.9,       3.7
통영,162,08-03,      26.7,      30.1,      24.1,       6.8,      81.9,       6.9,,,    1005.6,    1009.2,       2.6
목포,165,08-03,      27.4,      31.2,      24.6,       4.0,      81.0,       7.6,       5.1,       5.2,    1003.5,    1008.3,       3.3
여수,168,08-03,      26.6,      29.6,      24.4,       7.4,      81.1,       7.4,       5.0,       5.5,    1001.2,    1008.8,       3.4
흑산도,169,08-03,      25.2,      28.7,      22.9,       3.6,      90.4,       6.3,       5.9,,     998.5,    1007.4,       4.6
완도,170,08-03,      26.8,      30.7,      24.0,       4.9,      82.7,       6.8,,,    1004.9,    1008.4,       3.0
고창,172,08-03,      28.1,      32.8,      24.2,       2.8,      82.4,       7.3,,,    1001.9,    1007.7,       2.6
제주,184,08-03,      28.1,      31.2,      25.6,       4.2,      75.1,       7.7,       4.9,       5.8,    1005.7,    1008.1,       2.9
고산,185,08-03,      27.1,      30.1,      24.8,       3.6,      85.1,       8.1,,,     999.6,    1007.8,       5.2
성산,188,08-03,      27.2,      30.4,      24.7,       4.5,      82.7,       7.2,,,    1006.5,    1008.6,       3.0
서귀포,189,08-03,      27.9,      30.6,      25.8,       6.5,      82.3,       6.8,       5.9,       4.8,    1002.4,    1008.2,       2.6
진주,192,08-03,      27.0,      31.7,      23.3,       9.5,      78.0,       6.7,,,    1005.7,    1008.7,       1.6
강화,201,08-03,      25.7,      29.8,      22.5,      13.8,      81.8,       5.7,,,    1003.0,    1008.3,       2.0
양평,202,08-03,      26.5,      31.6,      22.7,      12.2,      79.4,       5.7,,,    1003.3,    1008.8,       1.2
이천,203,08-03,      26.4,      31.6,      22.6,      11.3,      76.8,       6.0,,,     999.5,    1008.2,       1.1
인제,211,08-03,      24.9,      30.3,      21.3,      11.8,      79.2,       5.3,,,     986.0,    1008.5,       1.7
홍천,212,08-03,      26.1,      31.8,      22.2,      11.6,      75.8,       5.6,,,     992.7,    1008.6,       1.1
태백,216,08-03,      23.1,      28.0,      19.4,       7.4,      77.7,       5.4,,,     930.0,    1008.0,       1.7
정선군,217,08-03,      26.0,      32.2,      22.0,       5.4,      77.8,       5.9,,,     974.1,    1008.4,       1.3
제천,221,08-03,      25.3,      30.8,      21.3,      12.8,      76.6,       6.0,,,     979.4,    1008.7,       1.2
보은,226,08-03,      25.7,      31.0,      21.8,       8.8,      76.7,       6.3,,,     988.6,    1008.1,       1.1
천안,232,08-03,      26.6,      31.7,      22.6,      10.1,      76.0,       6.7,,,    1004.3,    1008.1,       1.6
보령,235,08-03,      26.9,      30.7,      23.8,       5.6,      81.0,       6.5,,,    1006.1,    1008.2,       2.3
부여,236,08-03,      27.1,      32.1,      23.3,       7.5,      78.0,       6.6,,,    1006.9,    1008.4,       1.4
금산,238,08-03,      26.4,      31.9,      22.2,       7.9,      74.5,       6.4,,,     989.2,    1008.4,       1.2
부안,243,08-03,      27.2,      32.2,      23.5,       5.9,      77.7,       7.5,,,    1007.2,    1008.3,       1.7
임실,244,08-03,      25.7,      31.3,      21.5,       8.8,      77.5,       6.4,,,     980.9,    1008.5,       1.3
정읍,245,08-03,      27.5,      32.7,      23.6,       7.3,      74.2,       6.6,,,    1003.1,    1008.3,       1.3
남원,247,08-03,      26.7,      32.1,      22.4,       7.8,      77.6,       6.7,,,     997.0,    1008.5,       1.4
